background style,description
奢华布景·Bright-Luxe,"Luxury bright-luxe: Bright neutral base with tasteful warm/cool metal cues (gold / rose gold / platinum), diffused key plus controlled edge highlights; not sterile pure white."
奢华布景·Darkfield,"Luxury darkfield: Black velvet or dark mirrored surface, precise specular highlights, ample negative space; avoid banding and harsh hotspots."
极简棚拍,"Minimal studio (solid or soft-gradient + geometric plinth): Solid or soft-gradient backdrop with a simple geometric plinth/platform; crisp rim light to shape volume; tidy, realistic shadows."
未来感/高科技,Futuristic / high-tech: Metallic or glass materials with subtle holographic/prismatic accents and faint geometric motifs (grid/hex/isometric); tightly controlled reflections to convey precision engineering.
科技极简,Tech minimal: Neutral-to-deep gradient backdrop with clean rim highlights and very subtle grid/contour cues; low-gloss base to manage speculars and keep lines sharp.
浅色电商主图（TCB）,"Tinted Commerce Base (near-white / light neutral): Near-white or light neutral base (light gray, ivory, beige) with soft falloff; strictly avoid pure-white or blank backdrops; reflections controlled and scene clean."
生活方式,"Real-world usage environment: Believable real-world setting with natural light direction and depth cues; tidy, lived-in details."
桌面/平铺,Tabletop / flatlay: Top-down or 30–45° tabletop scene on coherent surfaces (wood/stone/tile/linen); lighting reveals texture without glare; narrative arrangement when accessories exist.
信息型电商,Informational commerce: Simple neutral set that clarifies structure/dimensions/packaging/accessories; light measurement/grid cues or modular panels are allowed; absolutely no typography/logos.
临床洁净,"Clinical clean: Cool white/light gray palette, low saturation and ample negative space; soft even key with gentle rim accents for definition; sterile but premium."
概念/艺术化,"Conceptual / artistic: Refined gradients, narrow light beams, and textured glass/water/acrylic to express attributes (purity, hydration, energy); abstract yet premium, never busy."
植物/自然,"Botanical / natural: Greenhouse or near-window soft light with earthy materials (wood, stone, linen) and subtle greenery; fresh and airy without clutter."
