Category,Style Priority 1,Style Priority 2,Style Priority 3
珠宝钟表奢品,奢华布景·Bright-Luxe,奢华布景·Darkfield,概念/艺术化
数码电子,未来感/高科技,科技极简,生活方式
家电厨具,生活方式,浅色电商主图（TCB）,
食品饮料,生活方式,,
文教办公与图书,生活方式,桌面/平铺,
收纳日用,生活方式,浅色电商主图（TCB）,
服饰鞋包,极简棚拍,信息型电商,概念/艺术化
家纺软装,生活方式,浅色电商主图（TCB）,
家具,生活方式,,
家装建材工业五金,桌面/平铺,信息型电商,
户外运动装备交通,信息型电商,,
汽车摩托出行,信息型电商,,
母婴亲子,生活方式,浅色电商主图（TCB）,
医药保健计生,生活方式,临床洁净,浅色电商主图（TCB）
美妆个护,生活方式,浅色电商主图（TCB）,
玩乐兴趣文创礼品,生活方式,浅色电商主图（TCB）,
宠物用品,生活方式,浅色电商主图（TCB）,
花园绿植,植物/自然,生活方式,浅色电商主图（TCB）
本地生活票券充值,信息型电商,浅色电商主图（TCB）,
农牧园艺农机,植物/自然,,
其他,浅色电商主图（TCB）,,
